error,dataset,split,task_id,result,avg_test_time,passed_tests,compiled,loc,lloc,sloc,comments,multi,blank,single_comments,CC,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,MI,model
,mbpp,test,0,passed,5.619463333333593e-05,True,True,12.0,12.0,10.0,0.0,0.0,2.0,0.0,5.0,4.0,10.0,9.0,16.0,14.0,25.0,41.219280948873624,95.18387305144007,3.2,304.58839376460827,16.921577431367126,0.0317279576838133,61.93233773944609,codeLLama_fewshot
,mbpp,test,1,passed,0.000128928566725,True,True,3.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_fewshot
,mbpp,test,2,passed,0.0001322373,True,True,6.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_fewshot
,mbpp,test,3,passed,3.374940000261025e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,3.0,6.0,8.0,9.0,17.509775004326936,27.0,1.0,27.0,1.5,0.009,83.27641167936048,codeLLama_fewshot
,mbpp,test,4,passed,5.736813333593697e-05,True,True,4.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_fewshot
,mbpp,test,5,passed,3.769139999999875e-05,True,True,6.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_fewshot
,mbpp,test,6,passed,2.5613033333312293e-05,True,True,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,84.71624627594792,codeLLama_fewshot
,mbpp,test,7,failed: name 'NO_OF_CHARS' is not defined,,False,True,25.0,23.0,22.0,0.0,0.0,3.0,0.0,1.0,4.0,10.0,6.0,12.0,14.0,18.0,41.219280948873624,68.53238859703687,2.4,164.4777326328885,9.13765181293825,0.0228441295323456,56.90233924632795,codeLLama_fewshot
,mbpp,test,8,passed,5.4247399999477847e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,88.5574946685516,codeLLama_fewshot
,mbpp,test,9,passed,5.0220333333328425e-05,True,True,13.0,13.0,13.0,0.0,0.0,0.0,0.0,5.0,4.0,7.0,9.0,18.0,11.0,27.0,27.651484454403228,93.40465370320705,5.142857142857143,480.3667904736363,26.687043915202015,0.0311348845677356,61.231418905071784,codeLLama_fewshot
,mbpp,test,10,passed,5.1990699997380334e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.0051699250014423,84.82770130283538,codeLLama_fewshot
,mbpp,test,11,passed,5.038120000051549e-05,True,True,11.0,9.0,9.0,0.0,0.0,2.0,0.0,3.0,2.0,3.0,2.0,3.0,5.0,5.0,6.754887502163469,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456,71.3248044092224,codeLLama_fewshot
,mbpp,test,12,passed,0.0001210649333334,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_fewshot
,mbpp,test,13,failed: 'int' object is not iterable,,False,True,5.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.0051699250014423,76.14705226402761,codeLLama_fewshot
,mbpp,test,14,failed: ,,False,True,6.0,6.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,3.0,6.0,9.0,9.0,20.264662506490406,28.529325012980813,1.5,42.793987519471216,2.377443751081734,0.0095097750043269,72.43195764141169,codeLLama_fewshot
,mbpp,test,15,passed,0.0001134942666666,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,88.28848882059837,codeLLama_fewshot
,mbpp,test,16,passed,6.787960000262197e-05,True,True,6.0,5.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_fewshot
,mbpp,test,17,passed,0.0005532637666666,True,True,6.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,5.0,8.0,8.0,16.0,13.0,24.0,35.60964047443681,88.81055323538621,5.0,444.0527661769311,24.669598120940616,0.0296035177451287,68.84425033507681,codeLLama_fewshot
,mbpp,test,18,passed,6.927476667139369e-05,True,True,9.0,9.0,9.0,0.0,0.0,0.0,0.0,5.0,5.0,7.0,5.0,9.0,12.0,14.0,31.26112492884004,50.18947501009619,3.2142857142857144,161.32331253245204,8.962406251802891,0.0167298250033653,66.60396143896465,codeLLama_fewshot
,mbpp,test,19,passed,3.612066666676128e-05,True,True,11.0,10.0,10.0,0.0,0.0,1.0,0.0,1.0,3.0,10.0,6.0,12.0,13.0,18.0,37.974168451037094,66.60791492653966,1.8,119.8942468677714,6.660791492653967,0.0222026383088465,64.87967236533424,codeLLama_fewshot
,mbpp,test,20,failed: ,,False,True,16.0,17.0,16.0,0.0,0.0,0.0,0.0,8.0,4.0,7.0,4.0,8.0,11.0,12.0,27.651484454403228,41.51317942364757,2.2857142857142856,94.88726725405158,5.27151484744731,0.0138377264745491,60.752448461499334,codeLLama_fewshot
,mbpp,test,21,failed: ,,False,True,10.0,10.0,10.0,0.0,0.0,0.0,0.0,4.0,6.0,7.0,6.0,11.0,13.0,17.0,35.161259458730164,62.907475208398566,4.714285714285714,296.5638116967361,16.47576731648534,0.0209691584027995,65.05348742496452,codeLLama_fewshot
