,dataset,split,task_id,model,code,result,avg_test_time,passed_tests,compiled,loc,lloc,sloc,comments,multi,blank,single_comments,CC,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,MI
0,mbpp,train,0,claude_3_haiku_0_shot_v4_prompt,"class Pair:
    def __init__(self, a, b):
        self.a = a
        self.b = b

def max_chain_length(pairs, n):
    max_length = 0
    dp = [1] * n

    for i in range(1, n):
        for j in range(i):
            if pairs[i].a > pairs[j].b and dp[i] < dp[j] + 1:
                dp[i] = dp[j] + 1

    for length in dp:
        max_length = max(max_length, length)

    return max_length",passed,0.0001091041666668957,True,True,18,14,14,0,0,4,0,6,5,11,6,12,16,18,49.663388279447084,72.0,2.727272727272727,196.36363636363635,10.909090909090908,0.024,61.05181721716335
1,mbpp,train,1,claude_3_haiku_0_shot_v4_prompt,"def first_repeated_char(string):
    char_count = {}
    for char in string:
        if char in char_count:
            return char
        char_count[char] = 1
    return ""None""",passed,2.9866500000252927e-05,True,True,7,7,7,0,0,0,0,3,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,76.42020806643173
2,mbpp,train,2,claude_3_haiku_0_shot_v4_prompt,"def get_ludic(n):
    ludics = list(range(1, n + 1))
    index = 0
    while index < len(ludics):
        first_ludic = ludics[index]
        remove_index = index + first_ludic
        while remove_index < len(ludics):
            del ludics[remove_index]
            remove_index += first_ludic - 1
        index += 1
    return ludics",failed: ,,False,True,11,11,11,0,0,0,0,3,3,8,7,14,11,21,28.75488750216347,72.64806399138325,2.625,190.70116797738103,10.594509332076724,0.024216021330461083,63.84727340717937
3,mbpp,train,3,claude_3_haiku_0_shot_v4_prompt,"def reverse_words(input_string):
    """"""
    Reverses the order of words in a given string.
    
    Args:
        input_string (str): The input string to be processed.
    
    Returns:
        str: The input string with the order of words reversed.
    """"""
    words = input_string.split()
    reversed_words = reversed(words)
    reversed_string = ' '.join(reversed_words)
    return reversed_string",passed,3.168559999999765e-05,True,True,14,6,5,0,7,2,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
4,mbpp,train,4,claude_3_haiku_0_shot_v4_prompt,"def is_prime(num):
    if num < 2:
        return False
    for i in range(2, int(num ** 0.5) + 1):
        if num % i == 0:
            return False
    return True",failed: name 'prime_num' is not defined,,False,True,7,7,7,0,0,0,0,4,5,8,5,10,13,15,35.60964047443681,55.506595772116384,3.125,173.4581117878637,9.636561765992427,0.01850219859070546,68.81312627594012
5,mbpp,train,5,claude_3_haiku_0_shot_v4_prompt,"def radian_degree(degrees):
    """"""
    Converts degrees to radians.

    Args:
        degrees (float): The angle in degrees.

    Returns:
        float: The angle in radians.
    """"""
    return degrees * (math.pi / 180)",failed: name 'math' is not defined,,False,True,11,3,2,0,7,2,0,1,2,4,2,4,6,6,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.005169925001442312,61.515062853972545
6,mbpp,train,6,claude_3_haiku_0_shot_v4_prompt,"import re

def find_literals(text, pattern):
    match = re.search(pattern, text)
    if match:
        return (match.re.pattern, match.start(), match.end())
    else:
        return None",passed,4.712236666666314e-05,True,True,8,7,7,0,0,1,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
7,mbpp,train,7,claude_3_haiku_0_shot_v4_prompt,"def bell_Number(n):
    bell = [[0] * (n + 1) for _ in range(n + 1)]
    bell[0][0] = 1

    for i in range(1, n + 1):
        bell[i][0] = bell[i - 1][i - 1]
        for j in range(1, i + 1):
            bell[i][j] = bell[i - 1][j - 1] + bell[i][j - 1]

    return bell[n][0]",passed,3.460476666674595e-05,True,True,10,8,8,0,0,2,0,4,3,8,11,22,11,33,28.75488750216347,114.16124341503082,4.125,470.91512908700213,26.161951615944563,0.03805374780501027,65.35524288124746
8,mbpp,train,8,claude_3_haiku_0_shot_v4_prompt,"def floor_Min(A, B, N):
    """"""
    Find the minimum possible value for the given periodic function.

    Args:
        A (int): The first parameter of the periodic function.
        B (int): The second parameter of the periodic function.
        N (int): The third parameter of the periodic function.

    Returns:
        int: The minimum possible value for the given periodic function.
    """"""
    return (A * max(B - 1, N)) // B",passed,3.4242466666663715e-05,True,True,13,3,2,0,9,2,0,1,3,5,3,6,8,9,16.36452797660028,27.0,1.8,48.6,2.7,0.009,51.65087316931213
9,mbpp,train,9,claude_3_haiku_0_shot_v4_prompt,"def remove_kth_element(lst, k):
    """"""
    Removes the k-th element from the given list.
    
    Args:
        lst (list): The input list.
        k (int): The index of the element to be removed (0-based).
    
    Returns:
        list: The modified list with the k-th element removed.
    """"""
    if k < 0 or k >= len(lst):
        raise IndexError(""Index out of range"")
    return lst[:k] + lst[k+1:]",failed: ,,False,True,14,6,4,0,8,2,0,3,4,8,5,10,12,15,32.0,53.77443751081735,2.5,134.43609377704337,7.468671876502409,0.017924812503605784,76.63492783652993
10,mbpp,train,10,claude_3_haiku_0_shot_v4_prompt,"def max_of_nth(test_list, n):
    """"""
    Find the maximum value in the nth column of a list of tuples.

    Args:
        test_list (list): A list of tuples.
        n (int): The index of the column to find the maximum value for.

    Returns:
        The maximum value in the nth column of the input list.
    """"""
    return max(row[n] for row in test_list)",passed,8.047420000044289e-05,True,True,12,3,2,0,8,2,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11,mbpp,train,11,claude_3_haiku_0_shot_v4_prompt,"def merge(lst):
    result = []
    for i in range(len(lst[0])):
        first_elements = [row[i] for row in lst]
        result.append(first_elements)
    for i in range(len(lst[0])):
        last_elements = [row[-1-i] for row in lst]
        result.append(last_elements)
    return result",failed: ,,False,True,9,9,9,0,0,0,0,5,2,3,2,3,5,5,6.754887502163469,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456034,71.05579856126917
