,dataset,split,task_id,model,code,result,compiled,passed_tests,avg_test_time,loc,lloc,sloc,comments,multi,blank,single_comments,CC,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,MI
0,openai_humaneval,test,0,llama3_0_shot_finetuned_1_epoch,"from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    for elem in numbers:
        for elem2 in numbers:
            if elem!= elem2:
                distance = abs(elem - elem2)
                if distance < threshold:
                    return True

    return False",failed: ,True,False,,18.0,10.0,9.0,0.0,7.0,2.0,0.0,5.0,3.0,4.0,3.0,6.0,7.0,9.0,12.75488750216347,25.26619429851844,2.25,56.848937171666485,3.158274287314805,0.008422064766172813,95.9752910566147
1,openai_humaneval,test,1,llama3_0_shot_finetuned_1_epoch,,failed: name 'separate_paren_groups' is not defined,True,False,,,,,,,,,,,,,,,,,,,,,,
2,openai_humaneval,test,2,llama3_0_shot_finetuned_1_epoch,"def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
    return round(number - int(number), 10)",passed,True,True,6.483930000058535e-05,10.0,3.0,2.0,0.0,7.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,65.11035329571214
3,openai_humaneval,test,3,llama3_0_shot_finetuned_1_epoch,"from typing import List

def below_zero(operations: List[int]) -> bool:
    balance = 0
    for op in operations:
        balance += op
        if balance < 0:
            return True
    return False",passed,True,True,0.00012862126666656574,9.0,8.0,8.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,2.0,4.0,5.0,6.0,6.754887502163469,13.931568569324174,1.3333333333333333,18.575424759098897,1.0319680421721609,0.004643856189774725,71.88621556846499
4,openai_humaneval,test,4,llama3_0_shot_finetuned_1_epoch,"from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
    mean = sum(numbers) / len(numbers)
    deviations = [abs(x - mean) for x in numbers]
    return sum(deviations) / len(deviations)",passed,True,True,9.269186666642782e-05,14.0,6.0,5.0,0.0,8.0,1.0,0.0,2.0,2.0,6.0,3.0,6.0,8.0,9.0,17.509775004326936,27.0,1.0,27.0,1.5,0.009,87.27781908182052
5,openai_humaneval,test,5,llama3_0_shot_finetuned_1_epoch,"from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
    if not numbers:
        return []

    result = [numbers[0]]
    for n in numbers[1:]:
        result.append(delimeter)
        result.append(n)
    return result",passed,True,True,8.88380999981564e-05,17.0,10.0,9.0,0.0,6.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.5,1.0,0.05555555555555555,0.0006666666666666666,100.0
6,openai_humaneval,test,6,llama3_0_shot_finetuned_1_epoch,,failed: name 'parse_nested_parens' is not defined,True,False,,,,,,,,,,,,,,,,,,,,,,
7,openai_humaneval,test,7,llama3_0_shot_finetuned_1_epoch,"from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
    return [s for s in strings if substring in s]",passed,True,True,0.0001181192999998378,10.0,4.0,3.0,0.0,6.0,1.0,0.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,87.85234636161907
8,openai_humaneval,test,8,llama3_0_shot_finetuned_1_epoch,"from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
    return sum(numbers), *([1],)[0] if not numbers else functools.reduce(lambda x, y: x*y, numbers)","failed: invalid syntax (<string>, line 11)",False,False,,,,,,,,,,,,,,,,,,,,,,
9,openai_humaneval,test,9,llama3_0_shot_finetuned_1_epoch,"from typing import List

def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    running_max = numbers[0]
    result = [running_max]

    for n in numbers[1:]:
        running_max = max(running_max, n)
        result.append(running_max)

    return result",failed: list index out of range,True,False,,16.0,9.0,8.0,0.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
