,dataset,split,task_id,model,code,result,avg_test_time,passed_tests,compiled,loc,lloc,sloc,comments,multi,blank,single_comments,CC,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,MI
0,openai_humaneval,test,0,llama3_0_shot_finetuned_smaller_LR_2_epoch,"from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    for elem in numbers:
        for other in numbers:
            if elem!= other and abs(elem - other) < threshold:
                return True

    return False",failed: ,,False,True,16.0,8.0,7.0,0.0,7.0,2.0,0.0,5.0,4.0,6.0,4.0,8.0,10.0,12.0,23.509775004326936,39.863137138648355,2.6666666666666665,106.3016990363956,5.905649946466422,0.013287712379549451,94.06260203651267
1,openai_humaneval,test,1,llama3_0_shot_finetuned_smaller_LR_2_epoch,"from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    result = []
    current_string = []
    current_depth = 0

    for char in paren_string:
        if char =='':
            continue
        if char == '(':
            current_depth += 1
            current_string.append(char)
        elif char == ')':
            current_depth -= 1
            current_string.append(char)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result",passed,9.485289999999758e-05,True,True,22.0,18.0,18.0,0.0,0.0,4.0,0.0,6.0,3.0,7.0,6.0,12.0,10.0,18.0,24.406371956566698,59.794705707972525,2.5714285714285716,153.75781467764364,8.542100815424646,0.019931568569324175,59.37029735596963
2,openai_humaneval,test,2,llama3_0_shot_finetuned_smaller_LR_2_epoch,"def truncate_number(number: float) -> float:
    """"""Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
    return number - int(number)",passed,7.365639999998841e-05,True,True,10.0,3.0,2.0,0.0,7.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,65.11035329571214
3,openai_humaneval,test,3,llama3_0_shot_finetuned_smaller_LR_2_epoch,"from typing import List

def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True
    return False",passed,0.00012475919999512067,True,True,18.0,9.0,8.0,0.0,8.0,2.0,0.0,3.0,2.0,3.0,2.0,4.0,5.0,6.0,6.754887502163469,13.931568569324174,1.3333333333333333,18.575424759098897,1.0319680421721609,0.004643856189774725,96.41268794345224
4,openai_humaneval,test,4,llama3_0_shot_finetuned_smaller_LR_2_epoch,"from typing import List
import statistics

def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
    return statistics.mean(abs(x - statistics.mean(numbers)) for x in numbers)",passed,0.00026459219999992457,True,True,13.0,5.0,4.0,0.0,8.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,85.87285774682948
5,openai_humaneval,test,5,llama3_0_shot_finetuned_smaller_LR_2_epoch,"from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
    if not numbers:
        return []

    result = [numbers[0]]
    for n in numbers[1:]:
        result.append(delimeter)
        result.append(n)

    return result",passed,9.053273333326691e-05,True,True,18.0,10.0,9.0,0.0,6.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.5,1.0,0.05555555555555555,0.0006666666666666666,100.0
6,openai_humaneval,test,6,llama3_0_shot_finetuned_smaller_LR_2_epoch,"from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
    def parse_paren_group(s: str) -> int:
        depth = 0
        max_depth = 0
        for char in s:
            if char == '(':
                depth += 1
                max_depth = max(depth, max_depth)
            else:
                depth -= 1
        return max_depth

    return [parse_paren_group(group) for group in paren_string.split() if group]",passed,7.826936666666118e-05,True,True,22.0,14.0,13.0,0.0,6.0,3.0,0.0,3.0,3.0,4.0,3.0,6.0,7.0,9.0,12.75488750216347,25.26619429851844,2.25,56.848937171666485,3.158274287314805,0.008422064766172813,93.62602677033182
7,openai_humaneval,test,7,llama3_0_shot_finetuned_smaller_LR_2_epoch,"from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """"""
    Filter an input list of strings only for ones that contain given substring

    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
    return [s for s in strings if substring in s]",passed,0.00010821443333336826,True,True,12.0,4.0,3.0,0.0,7.0,2.0,0.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,81.03301269040966
8,openai_humaneval,test,8,llama3_0_shot_finetuned_smaller_LR_2_epoch,"from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
    return sum(numbers), *([1], *map(lambda x: x, numbers))[1:]",failed: ,,False,True,11.0,5.0,3.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
9,openai_humaneval,test,9,llama3_0_shot_finetuned_smaller_LR_2_epoch,"from typing import List

def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    result = [max(numbers[:i+1]) for i in range(len(numbers))]
    return result",passed,0.00010322786665710737,True,True,10.0,6.0,4.0,0.0,5.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,99.49186672034955
