error,dataset,split,task_id,result,avg_test_time,passed_tests,compiled,loc,lloc,sloc,comments,multi,blank,single_comments,CC,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,MI
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mbpp,test,8,passed,5.468169999858219e-05,True,True,21,6,5,10,4,4,8,1,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,68.7948408460983
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mbpp,test,14,failed: name 'find_Product' is not defined,,False,True,19,10,9,3,6,3,1,3,3,6,3,6,9,9,20.264662506490406,28.529325012980813,1.5,42.793987519471216,2.377443751081734,0.009509775004326938,93.23486865536054
,mbpp,test,15,passed,0.00010558100000016188,True,True,20,9,8,7,4,3,5,4,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,93.00562180003826
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mbpp,test,18,failed: name 'get_Odd_Occurrence' is not defined,,False,True,19,13,12,2,3,3,1,5,5,7,5,9,12,14,31.26112492884004,50.18947501009619,3.2142857142857144,161.32331253245204,8.962406251802891,0.016729825003365395,91.56804474481335
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mbpp,test,23,passed,5.406666666658566e-05,True,True,30,18,18,12,0,7,5,6,7,10,11,18,17,29,52.87076540327685,118.53642239625987,6.3,746.7794610964371,41.48774783869095,0.03951214079875329,86.31518058623872
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mbpp,test,35,failed: ,,False,True,25,8,7,7,7,6,5,2,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,81.42019178555408
,mbpp,test,36,failed: name 'compute_Last_Digit' is not defined,,False,True,26,14,13,10,3,3,7,4,6,10,9,18,16,27,48.72905595320056,108.0,5.4,583.2,32.400000000000006,0.036,85.86464433804007
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mbpp,test,46,failed: name 'find_Max_Num' is not defined,,False,True,20,9,9,6,0,6,5,2,2,4,2,4,6,6,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.005169925001442312,99.60435211242229
